code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
"K+Q""+.MRN=T2(.JQJG]+]*/CJ9,O[,=*C'11?\I/G8JU0/D2YOC)(P]#[Q:YXQR:\Q-%";"D(5,+\J,_!0U6MW""<'(LM#";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;21;;;Bourgogne - Franche-Comté;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/NBOMO9QTU4GQ1LN`\$QAA$/P/LC2/*U#3?G[%1'M'OEA""";"JJ89WA\MJ)G=V-(!>:2BZ""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;78;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Très satisfaisant;;;Oui;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/C2;9;@0QA$`DHB)0PSG^=!/C6[F570(L;+X4:#$;:UAW'";"H]7DL?4(`V&`U7VQZ[GB;$";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;26;;;Auvergne - Rhône-Alpes;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;19.0;;;Satisfaisant;1869;;Non;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/MSCNZM[8!3H.C<-""WZHFQ%/P\U.LR^$9;4_H]V=DE#]'+";"MI`*4W64U<G/K1ZJ""0@P:)";SITE JOCOU;JOCOU;Espace naturel;Espace naturel;;Boulc;26;26410;26055;Auvergne - Rhône-Alpes;France;44.648051;5.565452;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;19595976.0;;;;;;Non;2021-12-31
"O;]D')`T)&>RY6]""<_D(T!/CHV-,#U\S#2`>""8PU2`\])/I\R[[,),>4%`@0(&8DYX!,";"O/6.N`&J`*KT6C0)'QQ'/""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;67;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Peu satisfaisant;;Non;Non;2021-12-31
IDF1/140986/209425;IB00100034874;DIRECTION DES SERVICES PENITENTIAIRES;DIRECTION DES SERVICES PENITENTIAIRES;Bureau;Immeuble de bureaux;26  ALL DES PEPINIERES;Fresnes;94;94260;94034;Ile-de-France;France;48.751495;2.338898;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;1164.0;79148.06;;Satisfaisant;;;Non;2021-12-31
HNOR/198709/446131;IB00100279268;Service Pénitentiaire d'Insertion et de Probation de l'Eure;Service Pénitentiaire d'Insertion et de Probation de l'Eure;Bâtiment sanitaire ou social;Bâtiment pénitentiaire;8 Ter  R DE LA ROCHETTE;Évreux;27;27000;27229;Normandie;France;49.02785;1.141599;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;0.0;71106.78;;;2003;Oui;Oui;2021-12-31
IDF1/112213/208380;IB00100026698;IEN FONTAINEBLEAU;INSPECTION DE L EDUCATION NATIONALE (IEN) DE FONTAINEBLEAU;Bureau;Inspection de l'Education Nationale;1  R JEAN BECQUEREL;Fontainebleau;77;77300;77186;Ile-de-France;France;48.414855;2.703219;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;182.48;;;Satisfaisant;;;Non;2021-12-31
NORP/124517/167207;IB00100025149;IEN BULLY LES MINES;IEN BULLY LES MINES;Bureau;Inspection de l'Education Nationale;8 et 10  BD JEAN BAPTISTE DUPUICH;Bully-les-Mines;62;62160;62186;Hauts de France;France;50.442489;2.725835;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;213.0;;;Satisfaisant;;;Non;2021-12-31
PICA/200120/452977;IB00100286785;CIO DE SENLIS_ANCIENNE GARE;CIO de SENLIS;Bureau;Centre d'information et d'orientation;3  Place de la gare;Senlis;60;60300;60612;Hauts de France;France;49.206381;2.592011;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;120.0;;;;1990;;Oui;2021-12-31
IDF1/134499/526777;IB00100344831;DOMAINE NATIONAL DE FONTAINEBLEAU;CHATEAU MUSEE;Bâtiment culturel;Musée;PL DU GENERAL DE GAULLE;Fontainebleau;77;77300;77186;Ile-de-France;France;48.402767;2.696824;Culture;Etablissement public château Fontainebleau;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;17845.62;4389154.4;;Satisfaisant;;Oui;Oui;2021-12-31
PICA/102076/165525;IB00100046306;DEPOT FOUILLES DE SOISSONS;DEPOT FOUILLES SOISSONS;Bâtiment technique;Bâtiment de stockage;;;2;;;Hauts de France;France;;;Culture;Culture-Patrimoines-Archéologie;Etat;COMMUNE  Partenaire générique;Commune;376.0;;;;2012;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/B'G1#82VX$G"")1*1=LE\-""/CJ9+77D`.KT&E]?%9E-F;/";"PP2,;EC#86W0U?<\ANKM*%";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;0  Avenue YACOUB EL MANSOUR;MOHAMMEDIA;N/A;99000;MA011;Étranger;Maroc;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1665.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/B:V9QZ8OPC9I&FG1:EKB5-/JR""KY#^MAK<]A8@'Q7`W;!";"KC3J(/_]].&1*R[`9[];K'";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Tchad;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;103.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/H2B_Y(EZOT:N*_B)SBRRY0/E[G#U__.""$/]K1G1];GB-,";N%8$QLZ-#UL\3!\AE=_FS!;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Ambassade;1  RUE IBN HAJAR;RABAT;N/A;99;MA013;Étranger;Maroc;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;3504.0;;;;1975;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/L)X\042B8#9:TQ@S!)DFM""/C[*%`$<,R,QV.7>6\##[#/";HIU9Z/Q/:93(O3G)!5-#U&;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Fidji;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;PERSONNE PHYSIQUE;Personne Physique;330.0;;;;;;Non;2021-12-31
"O,J(Q<>+_?_`^W+4,/!J^(/HXO:\R8B9D6?FX(<?(;\E+/DV?RDA;0WD^_`+R/;=2TE-";HO2TE/6N>LY)$K=OMQY$X+;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;988;;;Collectivités et territoires d'Outre-Mer;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;80.0;6901.0;;Satisfaisant;;;Non;2021-12-31
"EL7?EA[BJ0&.;)[CUKB>S*/D*>1.5'\L$':LAI<8Z*V-*/L?O*#BEA=D$SQG7%8%NU%%";D9/6A5EM#J4&J<A+%6>.7$;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;62;;;Hauts de France;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;105.75;;;;2000;;Non;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/OU2D!I>QU4,AIG%PI2Q^Q$/K@;9T/-7$OCXE""(R:%>OP0";NBS&E8HV)>G7FJ5#0SS6M,;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;42;;;Auvergne - Rhône-Alpes;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;561.35;;;;2008;;Non;2021-12-31
NORP/180037/399067;IB00100234887;SITE PENITENTIAIRE MAUBEUGE;MESS CTRE PENITENTIAIRE MAUBEUGE;Bâtiment sanitaire ou social;Bât. restauration collective;RTE D'ASSEVENT;Maubeuge;59;59600;59392;Hauts de France;France;50.287805;4.012923;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;363.41;;;;1990;;Oui;2021-12-31
NORP/207678/471043;IB00100308124;Local syndical PJJ;Local syndical PJJ;Bureau;Immeuble de bureaux;69  R DU GENERAL LECLERC;Hem;59;59510;59299;Hauts de France;France;50.654169;3.183064;Justice;Protection Judiciaire de la Jeunesse;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;138.0;;Electricité;Satisfaisant;;;Non;2021-12-31
"O,:U""ER6P4B`^+8Z60T-3%/IN4D\E:T`$DJA(K1-[""E=0/HFW`9.BEN3!SF7(O0:3[!%";"CO""1DAU!/E(!#3NV,=Q&O+";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;974;;;Départements d'Outre-Mer;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;90.0;;;;;;Non;2021-12-31
RALP/115859/180370;IG00100013898;SITE PENITENTIAIRE AIN BOURG EN BRESSE;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;CHE DE LA PROVIDENCE;Bourg-en-Bresse;1;01000;01053;Auvergne - Rhône-Alpes;France;46.194252;5.253924;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
LANG/123430/164557;IB00100010921;DIASER;SERVICE INFORMATIQUE;Bureau;Rectorat;305  R D'ARGENCOURT;Montpellier;34;34000;34172;Occitanie;France;43.613083;3.885554;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1581.0;61076.66;Fioul domestique : pétrole brut, gazole, fioul domestique;Peu satisfaisant;1952;Oui;Oui;2021-12-31
BRET/187433/389830;IB00100224848;RECTORAT DE RENNES - UAR - J. PERRIN;RECTORAT DE RENNES - BAT TECHNIQUE UAR J. PERRIN;Bureau;Rectorat;261  AV GENERAL LECLERC;Rennes;35;35000;35238;Bretagne;France;48.114704;-1.640568;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;774.0;37832.9;Réseau de chaleur;Satisfaisant;0001;Oui;Oui;2021-12-31
"F[Y9T\K[![9%57TY@P<GL./BL]VQN\;Q$_@VHL%Q`HE-0/P>I*H5AU!#.51;:DS)?E]""";PDMPY:/7^ZV%_.H/:Y:\@#;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;51;;;Grand-Est;France;;;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;369.0;5410.891;;Très satisfaisant;1964;Oui;Non;2021-12-31
DOM2/121740/389355;IB00100224341;LPRO DE KAHANI;LPRO DE KAHANI BAT B1;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;PL DU LYCEE KAHANI;Ouangani;976;97670;97614;Départements d'Outre-Mer;France;-12.823189;45.130204;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;1991;;Oui;2021-12-31
IDF1/189243/399624;IB00100235914;Internat d'Excellence-CEREMA ex chorus 160378;BAT 48 Stade;Espace aménagé;Terrain de jeux ou de loisirs;RTE NATIONALE 19;Sourdun;77;77171;77459;Ile-de-France;France;48.537507;3.350126;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;15700.0;;;;;;Non;2021-12-31
PACA/170874/370938;IB00100206801;VILLA ARSON;BATIMENT D ENSEIGNEMENT-VILLA ARSON BAT 2;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;20  AV STEPHEN LIEGEARD;Nice;6;06000;06088;Provence-Alpes-Côte-d'Azur;France;43.720507;7.25283;Culture;Villa Arson de Nice;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;923.0;;;;0001;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/DMHZ]11,G$+5U(>7S4![-!/M-D..$-2=T[%_8&`EU#T)""";"L@.X,N-LT__OWTV&R;_M90";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Ambassade;0  Rue ALFASSA;BRAZZAVILLE;N/A;99000;CG001;Étranger;Congo;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2286.0;;;;1963;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/HTWJ""T[0IC"">AVC([(YNE(/INY-KC$P.3NX7-GC.-]X1-";"L/RW?I*U$%X'UE0Z>%Q;P#";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment culturel;Équipement culturel;0  . BREG 12;LJUBLJANA;N/A;9900;SI001;Étranger;Slovénie;;;Affaires étrangères;Affaires étrangères (Ets culturels et de recherche);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;371.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/MNK9&E:7$D4UHC&AMRP_%!/P-""E8#HTBCSD_EX633<KU%";"F/\2P""TJ!:A2MGM>M>7\M)";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Édifice du culte;Édifice du culte;0  . VIA DOLOROSA VIEILLE VILLE;JERUSALEM;N/A;99000;;Étranger;;;;Affaires étrangères;Affaires étrangères (immeubles commémoratifs et cultuels).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1548.0;;;;1800;;Non;2021-12-31
"P'\>2$$=;!(=.1JT@;Z!0!/B@U_K_U0UT\$H#D:$77K9#/M[I_J&\9A42(&RZU4?MU1$";MWQ`K33%QQ6QI(I>ZRD:*(;ONIRIS - SITE DE LA CHANTRERIE;GROUPE 1 A - DIRECTION / ADMINISTRATION;Bureau;Bureau;RTE DE GACHET;Nantes;44;44000;44109;Pays de la Loire;France;47.285518;-1.520613;Agriculture;ONIRIS - Ecole nat vét, agroali et de l'aliment Nantes Atlan;EPSCP;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2926.0;819775.4;;Satisfaisant;1979;Oui;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/OCG4]C%8P#GA86GIF<EV-""/J0TZN:PFNC/WSEUSP55CU""";"L.=RFJ,Q;EA:VYZN>Y`*H)";ECOLE NATIONALE  VETERINAIRE TOULOUSE;50;Bâtiment agricole ou d'élevage;Bâtiment agricole ou d'élevage;23  CHE DES CAPELLES;Toulouse;31;31000;31555;Occitanie;France;43.59923;1.383708;Agriculture;ENVT - Ecole nationale vétérinaire de Toulouse;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;167.0;15476.45;;;2000;Oui;Non;2021-12-31
"DS@@Q(4([QDZJK1^6&13+)/CKI4B3RZ%4`'R9A@+53BQ#/E,=ISC_!K;4N',9JB:J]'+";O:'UL,%63E70Y(':NS3`X$;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;34;;;Occitanie;France;;;Agriculture;INESAAE – l’institut Agro;EPSCP;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Peu satisfaisant;0001;;Non;2021-12-31
F:E+57HZ8Z9<&48$:#+DW+/K[K).Z?P(DA4=IG%!Y:U5//F>2`SC*I!CO8MT$[MHNEU*;M?CJE!QCX)H(/^.E@IH3U.;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;17;;;Nouvelle Aquitaine;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;78.0;;;;2002;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/D%E*)<DN?T""MGZT38_)DY*/PY_FVY`>:3.8^@=2T.<\1%";"H/7`@!Y9<W0@RZES_7X;I&";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;77;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;0001;;Non;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/KG=5C3K4\T;I5TZY>9BB)*/P?W'=4E*\DI""/[9QL62[5)";J@@S<G9O%X@4[Z]<_A6XD);SITE LA LICORNE;LA LICORNE-Vaulx-Milieu;Espace naturel;Espace naturel;;Vaulx-Milieu;38;38090;38530;Auvergne - Rhône-Alpes;France;45.611989;5.181577;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;192253.0;;;;;;Non;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/DI5N!;T(%S2L8BWTA>0VY&/K.@4/-DFB<@IO4@AWG(`',";"NPFC*0V7K)H9*=""6;Y?S""/";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;2;;;Hauts de France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
"P'\>2$$=;!(=.1JT@;Z!0!/FVDIQ0<H*SV@R/C1NX>JY-/I!/#U11L4+7Y8>J,Y5VYC.";J636]GC6#/==_/CBFI/!4';Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;85;;;Pays de la Loire;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Très satisfaisant;;;Non;2021-12-31
BNOR/183778/435887;IB00100267927;Tribunal judiciaire de Caen;Tribunal judiciaire de Caen;Bureau;Tribunal;11  R DUMONT D'URVILLE;Caen;14;14000;14118;Normandie;France;49.183321;-0.348693;Justice;Justice (services judiciaires);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;7058.0;448449.33;Réseau de chaleur, Gaz naturel;Satisfaisant;2015;Oui;Oui;2021-12-31
RALP/117761/157880;IB00100030898;VIENNE - PALAIS DE JUSTICE - T.G.I. - T.I. - T.C.;VIENNE - BATIMENT A - rue bourgogne - T.G.I. - T.I. - T.C.;Bureau;Tribunal;27  R DE BOURGOGNE;Vienne;38;38200;38544;Auvergne - Rhône-Alpes;France;45.526035;4.873271;Justice;Justice (services judiciaires);Etat;DEPARTEMENT  Partenaire générique;Département;1374.0;78574.572;;Satisfaisant;1989;Oui;Oui;2021-12-31
PICA/177460/354506;IB00100191411;ESPACE LAMARTINE CPH ET TC AMIENS;ESPACE LAMARTINE CPH ET TC AMIENS;Bureau;Immeuble de bureaux;18  R LAMARTINE;Amiens;80;80000;80021;Hauts de France;France;49.891926;2.304914;Justice;Justice (services judiciaires);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;1061.0;23689.81;Gaz naturel;Satisfaisant;;Non;Oui;2021-12-31
BNOR/143999/370972;IG00100082379;SITE PENITENTIAIRE CAEN DUPARGE;TER ASSIETTE ENCEINTE;Espace naturel;Terrain d'assiette étb. Pénitent.;10  R DU GENERAL DUPARGE;Caen;14;14000;14118;Normandie;France;49.183155;-0.391143;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
LANG/196716/439724;IB00100272212;SPIP BEZIERS;SPIP BEZIERS;Bureau;Immeuble de bureaux;31/33  QUAI DU PORT NEUF;Béziers;34;34500;34032;Occitanie;France;43.334863;3.217818;Justice;Services Pénitentiaires;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;618.0;;;Très satisfaisant;0001;;Non;2021-12-31
P[(D'+'+,UJ=YM^ZS!,<V-/OD>]RK0KY3@-SEB?Z,7VQ+/IG=AGD=#_LVTA72F2ODZ[/;"EZ/QZ-KB""AS]69%^Y#34>+";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;13;;;Provence-Alpes-Côte-d'Azur;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;127.0;;;;;;Non;2021-12-31
BRET/198527/445064;IB00100277963;CIRCONSCRIPTION DE LANNION;CIRCONSCRIPTION DE LANNION;Bureau;Inspection de l'Education Nationale;R DES URSULINES;Lannion;22;22300;22113;Bretagne;France;48.73086;-3.453681;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;112.44;3659.82;Electricité;Satisfaisant;1990;Oui;Non;2021-12-31
BRET/110250/132206;IB00100033503;INSPECTION EDUCATION NATIONALE 1ER DEGRE FOUGERES;INSPECTION EDUCATION NATIONALE 1ER DEGRE FOUGERES;Bureau;Inspection de l'Education Nationale;47  AV GEORGES POMPIDOU;Fougères;35;35300;35115;Bretagne;France;48.348604;-1.202156;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;69.0;980.6;Gaz naturel;Très satisfaisant;;Non;Non;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/ID0]^""2`GD]V#K/0=8FS5,/C%UY%[W*1K6M`H+Q`BH`['";DUFV03QKW.H`%$KM,HU:%#;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;2;;;Hauts de France;France;;;Education nationale - Enseignement supérieur;Ets du second degré - lois décentralisat Jeunesse et sport;EPL;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;65.0;;;;;;Non;2021-12-31
IDF1/101659/442032;IB00100274797;CENTRE DE PEDIATRIE ET DE REEDUCATION DE BULLION;BAT 11 : GROUPE SCOLAIRE 1;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;LD LONGCHENE;Bullion;78;78830;78120;Ile-de-France;France;48.632854;2.009265;Affaires sociales - Travail;ARS - Ile de France;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Oui;2021-12-31
IDF1/180592/363372;IB00100200089;CHATEAU DE VERSAILLES;PAVILLON MASSIPE;Bâtiment culturel;Équipement culturel;LD LE PETIT PARC;Versailles;78;78000;78646;Ile-de-France;France;48.803608;2.121851;Culture;EPV - Ets public du musée et du domaine nat de Versailles;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;1295.0;;;Peu satisfaisant;1680;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/DD1BKEKR33-X7W2$<IG_!&/K,H5FO[SWT)F\E%2J3_WI-";O'QNL2(^QBJT[)834QCUR&;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Consulat;27  . NGUYEN THI MINH KHAI;HO CHI MINH-VILLE;N/A;99000;VN004;Étranger;Viet-Nam;;;Affaires étrangères;Consulats.;Etat;Organismes publics étrangers;Autre Proprié.;2688.0;;;;1950;;Oui;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/F9PW3RI5MT`B=!F,J;#B9*/PQY5&A`=Z3DYJ1'NJ/AJQ*";"P_WJ(W%?/""-\.I7""V_:A:!";MAP VAUGIRARD;BUREAUX DU MAAPAR;Bureau;Bureau;251  R DE VAUGIRARD;Paris 15e Arrondissement;75;75015;75115;Ile-de-France;France;48.840228;2.303997;Agriculture;Agriculture (services centraux);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;9115.0;376668.58;;Très satisfaisant;;Oui;Non;2021-12-31
"G""E<L_+212O/?8TN[""6RE-/A<04),)CK4[!U5;*=(NRA//HB>,;=`O""4N%F^@2S=KM1-";"B=%=SUM<BCO@MQ;+=QZYQ-";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;33;;;Nouvelle Aquitaine;France;;;Agriculture;Bordeaux Sciences Agro - ENS des science agronomiques;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;97.7;;;Satisfaisant;;;Non;2021-12-31
"NL&!4]$M?*K-F7IH>).]L$/CC9[=;7/9D-@#\[HT>,A5(/I8O&.W*?J3X1RCUN&V\JQ!";"E2E;A9#_A""RH$N0$K^,`S%";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;76;;;Normandie;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;;;;Non;2021-12-31
