code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
AQUI/100303/377731;IB00100213710;SITE PENITENTIAIRE VILLENEUVE SUR LOT EYSSES;CENTRE DE DETENTION D'EYSSES : DEPOTS EX FERME 1;Bâtiment technique;Bâtiment technique;LD EYSSES;Villeneuve-sur-Lot;47;47300;47323;Nouvelle Aquitaine;France;44.415175;0.713443;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;70.0;773.98;;;2000;;Non;2021-12-31
FRCO/105392/357851;IB00100194349;STEMO Lons le Saunier;1 box pour un agent handicapé 180 rue G Trouillot;Espace aménagé;Aire de stationnement;160  R GEORGES TROUILLOT;Lons-le-Saunier;39;39000;39300;Bourgogne - Franche-Comté;France;46.677698;5.555149;Justice;Protection Judiciaire de la Jeunesse;Etat;PERSONNE PHYSIQUE;Personne Physique;10.0;2.0;;;1973;;Non;2021-12-31
"NL&!4]$M?*K-F7IH>).]L$/P0F'E!$`]S#QMV""-X:3S),/JN;<._GVG<+=A36Q(9CYW'";LOS5IP0-4@S\-WH,E(,RB*;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;76;;;Normandie;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;148.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/O30K97JPK3OZZRY'R;F[A./H.1]B;/Q>DN]EK2R$!8CE!";"LY1$PJ-D_=W`BR8Y')]^;#";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Immeuble d'habitation;;;;;;Étranger;Mali;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;121.0;;;;1985;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/OUX`\VT,\C4[76RH`G1M%!/C63PO!H/)D3?[#74]7E]U-";H]@)_`5?J8[DU:_PVH?`R-;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Iraq;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;864.0;;;;1977;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/B?9SXOJO=SG?9.[6GEGF)+/DN#N$DNB""LQFR@""GV`^GK+";"N(@-S@8]/88D5PGBZ-$_7""";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Immeuble d'habitation;;;;;;Étranger;Iraq;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;PERSONNE PHYSIQUE;Personne Physique;308.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/ID$3[AH:;3V_>+L"",YI`1'/ELKU+W69`K.#%3-4\4UP[%";"L]2PFS(\OZ%)1E>6D';V_+";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;ZONE PORTUAIRE SUD;DJIBOUTI;N/A;99999;;Étranger;Djibouti;;;Affaires étrangères;Ets d'enseignement français à l'étranger;Etat;Organismes publics étrangers;Autre Proprié.;168.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/M&8G$D`.O$AS)ICOYU)CM,/NCO>P*+WNL^BU3U>##PE[)";LB0QQWO0H.GYF+MJEIVO&.;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;0  Avenue MOULAY SLIMANE;FES;N/A;99000;MA005;Étranger;Maroc;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;28.0;;;;;;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/M\56Q&CU>S?(G\VW<)QH))/P!2D<2?BG#BF7L7UV_AL]%";"K?Z6M!8]B0_""$US\C`W'3-";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment culturel;Équipement culturel;6  Avenue DU 1ER NOVEMBRE;ALGER;N/A;99000;DZ001;Étranger;Algerie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;5663.0;;;;;;Oui;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/EK-Z)O,<,42P^K5VQ\JK1$/J;;S/R/MM\<@WHO(3:2HO#";"H>QA`IPZRNRQ@4PN#[J1!""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;55;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;0001;Oui;Non;2021-12-31
